id,type,name,description,aliases,external_id,platforms,kill_chain_phases,created,modified
malware--007b44b6-e4c5-480b-b5b9-56f2081b1b7b,malware,HDoor,HDoor is malware that has been customized and used by the Naikon group.,"[""HDoor"", ""Custom HDoor""]",S0061,"[""Windows""]",[],2017-05-31T21:32:40.801Z,2025-04-16T20:37:51.573Z
malware--00806466-754d-44ea-ad6f-0caf59cb8556,malware,TrickBot,"TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre. TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns.","[""TrickBot"", ""Totbrick"", ""TSPY_TRICKLOAD""]",S0266,"[""Windows""]",[],2018-10-17T00:14:20.652Z,2024-04-10T22:28:21.746Z
malware--00936d7a-451d-4a9c-88fc-05b141aa2d3f,malware,cd00r,"cd00r is an open-source backdoor for UNIX and UNIX-variant operating systems that was orginally released in 2000. cd00r source code is primarily based on a packet-capturing program as it utilizes a sniffer to listen for specific sequences of network traffic or ""secret knock"" before executing the attacker's code.","[""cd00r""]",S1204,"[""Network Devices""]",[],2025-02-19T20:07:23.223Z,2025-04-15T19:46:33.009Z
malware--00c3bfcb-99bd-4767-8c03-b08f585f5c8a,malware,PowerDuke,PowerDuke is a backdoor that was used by APT29 in 2016. It has primarily been delivered through Microsoft Word or Excel attachments containing malicious macros.,"[""PowerDuke""]",S0139,"[""Windows""]",[],2017-05-31T21:33:19.746Z,2025-04-25T14:42:30.325Z
malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,malware,EKANS,"EKANS is ransomware variant written in Golang that first appeared in mid-December 2019 and has been used against multiple sectors, including energy, healthcare, and automotive manufacturing, which in some cases resulted in significant operational disruptions. EKANS has used a hard-coded kill-list of processes, including some associated with common ICS software platforms (e.g., GE Proficy, Honeywell HMIWeb, etc), similar to those defined in MegaCortex.","[""EKANS"", ""SNAKEHOSE""]",S0605,"[""Windows""]",[],2021-02-12T20:07:42.883Z,2025-04-16T20:37:51.908Z
malware--01dbc71d-0ee8-420d-abb4-3dfb6a4bf725,malware,BLINDINGCAN,"BLINDINGCAN is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.","[""BLINDINGCAN""]",S0520,"[""Windows""]",[],2020-10-27T18:45:58.576Z,2025-10-21T03:13:35.145Z
malware--023254de-caaf-4a05-b2c7-e4e2f283f7a5,malware,Ninja,Ninja is a malware developed in C++ that has been used by ToddyCat to penetrate networks and control remote systems since at least 2020. Ninja is possibly part of a post exploitation toolkit exclusively used by ToddyCat and allows multiple operators to work simultaneously on the same machine. Ninja has been used against government and military entities in Europe and Asia and observed in specific infection chains being deployed by Samurai.,"[""Ninja""]",S1100,"[""Windows""]",[],2024-01-11T18:40:51.497Z,2025-10-22T02:17:48.978Z
malware--02739f57-7585-4319-acd3-794ae8ff3a70,malware,Pikabot,"Pikabot is a backdoor used for initial access and follow-on tool deployment active since early 2023. Pikabot is notable for extensive use of multiple encoding, encryption, and defense evasion mechanisms to evade defenses and avoid analysis. Pikabot has some overlaps with QakBot, but insufficient evidence exists to definitively link these two malware families. Pikabot is frequently used to deploy follow on tools such as Cobalt Strike or ransomware variants.","[""Pikabot""]",S1145,"[""Windows""]",[],2024-07-12T19:07:40.654Z,2024-10-28T19:01:43.612Z
malware--039814a0-88de-46c5-a4fb-b293db21880a,malware,Wiarp,Wiarp is a trojan used by Elderwood to open a backdoor on compromised hosts.,"[""Wiarp""]",S0206,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2024-11-17T19:55:07.588Z
malware--03acae53-9b98-46f6-b204-16b930839055,malware,RCSession,RCSession is a backdoor written in C++ that has been in use since at least 2018 by Mustang Panda and by Threat Group-3390 (Type II Backdoor).,"[""RCSession""]",S0662,"[""Windows""]",[],2021-11-19T19:47:26.552Z,2024-04-11T00:21:49.455Z
malware--03ea629c-517a-41e3-94f8-c7e5368cf8f4,malware,Spark,Spark is a Windows backdoor and has been in use since as early as 2017.,"[""Spark""]",S0543,"[""Windows""]",[],2020-12-15T01:30:05.198Z,2025-04-25T14:42:31.753Z
malware--03eb4a05-6a02-43f6-afb7-3c7835501828,malware,QuietSieve,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.,"[""QuietSieve""]",S0686,"[""Windows""]",[],2022-02-18T16:46:39.268Z,2025-04-16T20:37:52.215Z
malware--04227b24-7817-4de1-9050-b7b1b57f5866,malware,SynAck,SynAck is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017.,"[""SynAck""]",S0242,"[""Windows""]",[],2018-10-17T00:14:20.652Z,2025-04-25T14:42:32.305Z
malware--04378e79-4387-468a-a8f7-f974b8254e44,malware,Bumblebee,"Bumblebee is a custom loader written in C++ that has been used by multiple threat actors, including possible initial access brokers, to download and execute additional payloads since at least March 2022. Bumblebee has been linked to ransomware operations including Conti, Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent.","[""Bumblebee""]",S1039,"[""Windows""]",[],2022-08-19T20:28:36.981Z,2024-09-17T17:58:55.921Z
malware--0450ed20-e9a7-4799-b601-2f2710300796,malware,BRICKSTORM,"BRICKSTORM is a cross-platform backdoor with variants written in Go and Rust that facilitates command and control, the ingress transfer of other malware, and the exfiltration of data. BRICKSTORM has also been created from a .NET application using ahead-of-time (AOT) compilation to blend in within victim environments. BRICKSTORM was first observed in April 2024. BRICKSTORM has previously been leveraged by People's Republic of China (PRC) state-nexus actors identified as UNC6201, UNC5221, WARP PANDA, PunyToad, and SYLVANITE.","[""BRICKSTORM""]",S9015,"[""ESXi"", ""Linux"", ""Network Devices"", ""Windows""]",[],2026-04-16T17:34:09.075Z,2026-04-23T03:13:35.645Z
malware--049ff071-0b3c-4712-95d2-d21c6aa54501,malware,MURKYTOP,MURKYTOP is a reconnaissance tool used by Leviathan.,"[""MURKYTOP""]",S0233,"[""Windows""]",[],2018-04-18T17:59:24.739Z,2025-04-25T14:42:32.856Z
malware--04cecafd-cb5f-4daf-aa1f-73899116c4a2,malware,AcidRain,"AcidRain is an ELF binary targeting modems and routers using MIPS architecture. AcidRain is associated with the ViaSat KA-SAT communication outage that took place during the initial phases of the 2022 full-scale invasion of Ukraine. Analysis indicates overlap with another network device-targeting malware, VPNFilter, associated with Sandworm Team. US and European government sources linked AcidRain to Russian government entities, while Ukrainian government sources linked AcidRain specifically to Sandworm Team.","[""AcidRain""]",S1125,"[""Network Devices"", ""Linux""]",[],2024-03-25T15:27:08.214Z,2025-04-15T19:46:33.099Z
malware--04fc1842-f9e4-47cf-8cb8-5c61becad142,malware,GRIFFON,GRIFFON is a JavaScript backdoor used by FIN7.,"[""GRIFFON""]",S0417,"[""Windows""]",[],2019-10-11T17:29:20.165Z,2025-04-25T14:42:33.402Z
malware--051eaca1-958f-4091-9e5f-a9acd8f820b5,malware,Exaramel for Windows,Exaramel for Windows is a backdoor used for targeting Windows systems. The Linux version is tracked separately under Exaramel for Linux.,"[""Exaramel for Windows""]",S0343,"[""Windows""]",[],2019-01-30T15:10:03.894Z,2025-04-16T20:37:52.840Z
malware--05318127-5962-444b-b900-a9dcfe0ff6e9,malware,Amadey,Amadey is a Trojan bot that has been used since at least October 2018.,"[""Amadey""]",S1025,"[""Windows""]",[],2022-07-14T17:30:54.927Z,2026-05-12T15:12:00.732Z
malware--05489800-6c6f-4922-a0de-d573b333e612,malware,JumbledPath,JumbledPath is a custom-built utility written in GO that has been used by Salt Typhoon since at least 2024 for packet capture on remote Cisco devices. JumbledPath is compiled as an ELF binary using x86-64 architecture which makes it potentially useable across Linux operating systems and network devices from multiple vendors.,"[""JumbledPath""]",S1206,"[""Network Devices""]",[],2025-02-25T20:50:43.343Z,2025-04-15T19:46:33.196Z
malware--065196de-d7e8-4888-acfb-b2134022ba1b,malware,RDFSNIFFER,RDFSNIFFER is a module loaded by BOOSTWRITE which allows an attacker to monitor and tamper with legitimate connections made via an application designed to provide visibility and system management capabilities to remote IT techs.,"[""RDFSNIFFER""]",S0416,"[""Windows""]",[],2019-10-11T16:13:19.588Z,2025-04-25T14:42:34.305Z
